periodname,organisationunitname,FP_Implants Removed,"Family Planning Attendances New Acceptor (starting FP), (15-19 )y","Family Planning Attendances New Acceptor (starting FP), (20-24)y","Family Planning Attendances New Acceptor (starting FP), (25+)y","Family Planning Attendances New Acceptor (starting FP), <15y",IUCD inserted,Implant,FP_Implants Removed,FP_IUCDs removed,Family Planning _Screened for HTS Needs,Proportion  of clients restarting FP,Proportion of FP New Acceptor aged 15 - 19 years,Family Planning  New Acceptors as a (%) of  total FP attendances,"IUCD inserted CopperT, (15-19 )y","IUCD inserted CopperT, (20-24)y","IUCD inserted CopperT, (25+)y","IUCD inserted CopperT, <15y","IUCD inserted Hormonal US, (15-19 )y","IUCD inserted Hormonal US, (20-24)y","IUCD inserted Hormonal US, (25+)y","IUCD inserted Hormonal US, <15y","Implant Implanon, (15-19 )y","Implant Implanon, (20-24)y","Implant Implanon, (25+)y","Implant Implanon, <15y","Implant Jadelle, (15-19 )y","Implant Jadelle, (20-24)y","Implant Jadelle, (25+)y","Implant Jadelle, <15y","Medroxyprogesterone injection DMPA-IM, (15-19 )y","Medroxyprogesterone injection DMPA-IM, (20-24)y","Medroxyprogesterone injection DMPA-IM, (25+)y","Medroxyprogesterone injection DMPA-IM, <15y","Medroxyprogesterone injection DMPA-SC, (15-19 )y","Medroxyprogesterone injection DMPA-SC, (20-24)y","Medroxyprogesterone injection DMPA-SC, (25+)y","Medroxyprogesterone injection DMPA-SC, <15y"
Jan-21,Central,672,30,25,23,,206,1518,674,23,10054,11,0.75,14.7,,,3,,,,,,,,2,,1,6,10,1,20,28,160,11,,,,
Jan-21,Copperbelt,898,1,20,27,11,1176,1826,899,103,21942,11.5,0.02,10.9,,,,,,,,,,,,,,,,,,,126,68,,,35,65
Jan-21,Eastern,319,901,1317,1242,45,254,1008,569,24,11977,11,21.8,17.6,7,143,34,14,,,45,,2,109,90,58,4,504,285,95,346,3238,2486,310,123,1473,1786,375
Jan-21,Luapula,403,3,9,,,188,965,403,18,4638,7,0.09,31.9,,,,,,,,,,,,,1,,1,,,3,,,,12,,
Jan-21,Lusaka,510,95,408,231,2,292,878,569,50,6944,52.5,1.4,10.9,,,,,,,,,,,,,,,,,,,,179,,,,
Jan-21,Muchinga,284,78,57,46,10,284,1273,285,19,3310,6.2,3.2,34.5,,,,,,,,,,,,,,12,28,,47,27,94,,,,,
Jan-21,Northern,289,174,381,448,,942,1620,322,36,3811,9.4,3.9,33.2,,,1,,,,1,,,4,26,,,24,74,,48,336,605,,22,252,355,
Jan-21,Northwestern,544,,,,,95,1085,544,118,3857,10.4,,27.4,,,,,,,,,,,,,,,,,,,,,,,,
Jan-21,Southern,560,4,1,6,1,175,1274,560,17,15328,8.2,0.07,16.4,,,,,,,,,,,,,,,,,4,6,13,1,,,,
Jan-21,Western,384,179,210,430,24,49,521,412,201,9951,8.8,4.7,29.9,,,,,,,,,,,1,,3,,19,1,129,154,386,10,143,158,337,13
Feb-21,Central,,1093,1129,1437,141,,,267,21,8123,30.8,27.1,11.9,32,125,159,90,,,3,1,44,76,158,63,231,253,320,215,1629,2083,2766,2718,854,1405,1729,1270
