periodname,month,year,organisationunitname,1st ANC Coverage (1st Trimester ),1st ANC coverage (all trimesters),Percentage of 1st ANC visits done in the 1st trimester_ <20years,Folic acid supplementation (%) during ANC visits,Iron supplementation (%) during ANC visits,High-risk pregnancies at 1st ANC (%),Deliveries (%) by all documented facility Staff,Institutional delivery coverage (%),Caesarean Section rate (%),Maternal deaths in facility,Fresh Still Births rate (1000),Macerated still births rate,Stillbirth rate (1000) in health facility,Neonatal deaths  count,Incidence (per 1000 live births) of pre-discharge neonatal sepsis,Maternal Deaths audited,Maternal deaths
periodname,month,year,province,1st ANC Coverage (1st Trimester ),1st ANC coverage (all trimesters),Percentage of 1st ANC visits done in the 1st trimester_ <20years,Folic acid supplementation (%) during ANC visits,Iron supplementation (%) during ANC visits,High-risk pregnancies at 1st ANC (%),Deliveries (%) by all documented facility Staff,Institutional delivery coverage (%),Caesarean Section rate (%),Maternal deaths in facility,Fresh Still Births rate (1000),Macerated still births rate,Stillbirth rate (1000) in health facility,Neonatal deaths  count,Incidence (per 1000 live births) of pre-discharge neonatal sepsis,mat_dths_audit,mat_dths
21-Jan,January,2022,Central,24.3,98.4,28.8,39.1,40,12.1,100,63.3,6.1,9,4.1,7.1,11,23,14.4,18,9
21-Jan,January,2022,Copperbelt,25.6,92.8,31.2,45.7,47.8,18.2,100,76.2,12.5,13,3.4,11.3,14.5,10,8.2,12,13
21-Jan,January,2022,Eastern,39.9,100,44.1,49.2,38.3,9.4,100,81,8,,4.7,8.4,12.9,4,6.3,4,
21-Jan,January,2022,Luapula,41.5,90.3,48.3,43.6,51.1,12,100,77.4,7,1,6.2,4.2,10.3,2,15.2,3,1
21-Jan,January,2022,Lusaka,20.5,89.6,25.7,33.6,40.3,4.7,100,70.3,13.2,14,5.3,13.2,18.1,,3.3,26,14
21-Jan,January,2022,Muchinga,31.8,78.2,47.5,68,67.1,20.9,100,56.8,6.3,3,3.9,5.4,9.2,4,13.2,5,3
21-Jan,January,2022,Northern,45,104.1,48.9,79,72.7,7,100,73.4,6.7,3,4.2,9,13,10,4.2,9,3
21-Jan,January,2022,Northwestern,37,111.7,37.1,38.2,44.7,10,100,71.7,5.5,1,4.9,13.4,18,12,5.3,1,1
21-Jan,January,2022,Southern,30,94,34.2,62.3,61.5,17.6,100,76.7,4.5,,4.4,5,9.3,14,6.7,22,
21-Jan,January,2022,Western,29.7,103.9,30.6,40.3,51,11.8,100,61.7,3.9,6,7.6,6.9,14.3,5,5.9,5,6
21-Feb,February,2022,Central,25.3,108.5,28,44,37.4,11,100,59.1,7,6,6.1,13.8,19.5,16,19.1,5,6
21-Feb,February,2022,Copperbelt,34.7,111.6,28.7,34.8,40,16.6,100,77.5,12.8,11,4.4,16.9,20.9,13,21.4,13,11
21-Feb,February,2022,Eastern,44.7,111.2,45.2,36.8,28.7,10.7,100,78.7,8.5,1,4.6,7.2,11.6,13,21.8,1,1
21-Feb,February,2022,Luapula,51,103.3,50.3,32.8,43.3,12,100,85.1,5.5,2,3.5,5.7,9.1,1,15.1,3,2
21-Feb,February,2022,Lusaka,22.2,74.3,35.3,32.9,26.7,4.8,100,62.5,13.8,12,6.2,16.5,22.3,2,11.5,12,12
21-Feb,February,2022,Muchinga,39.4,94.4,48.3,75.1,67.1,22.6,100,61.6,6.8,10,3,5,7.9,1,9.9,3,10
21-Feb,February,2022,Northern,40.1,94.5,43.6,71.3,60.6,7.5,100,75.1,6.8,4,7.4,6.9,14.2,2,4.9,4,4
21-Feb,February,2022,Northwestern,37.3,97.7,43.2,29.1,37.2,9,100,66.3,6.5,5,13.7,7.3,20.6,8,34.3,4,5
21-Feb,February,2022,Southern,32.8,97.9,39.1,65.5,54,16.7,100,77.9,5.7,10,6,6,11.9,25,19.8,9,10
21-Feb,February,2022,Western,34.5,107.8,34.1,36.4,42.6,12.3,100,60.5,4.4,2,11.1,4.8,15.6,9,9.9,2,2
21-Mar,March,2022,Central,28.7,112.3,29.5,33.3,29.8,9.5,100,63.8,6.7,7,5.4,10.6,15.8,16,16,3,7
21-Mar,March,2022,Copperbelt,32.1,105.6,30.4,40.8,41.1,21.8,100,75.7,13.1,12,2.9,10.3,13.1,14,12.6,12,12
21-Mar,March,2022,Eastern,49.1,120.2,45.7,32.4,22.8,10.3,100,83.2,8.5,6,5.6,6.7,12.1,11,11.6,2,6
21-Mar,March,2022,Luapula,53.8,110.8,53.6,52.5,58.4,12.9,100,82.6,6.2,1,4.1,4.3,8.3,5,33.4,,1
21-Mar,March,2022,Lusaka,20.6,90.5,24.2,26.7,25.8,5.8,100,74.9,14.1,28,4.6,14.4,18.7,,7.1,24,28
21-Mar,March,2022,Muchinga,59.1,120.2,43.8,67.9,64.4,15.1,100,64,6.6,7,6.1,4.3,10.3,4,12.6,1,7
21-Mar,March,2022,Northern,49.9,114.3,48.8,67.7,68.7,8.7,100,75.3,8.1,5,6.5,7.4,13.7,6,14.8,4,5
21-Mar,March,2022,Northwestern,38.7,112.9,38.8,33,36.1,10.7,100,68.1,5.2,6,6.3,8.2,14.3,18,30.5,5,6
21-Mar,March,2022,Southern,35,98,39.9,55.3,41.9,15.9,100,76.7,6,6,7.4,4.6,11.8,10,13.4,5,6
21-Mar,March,2022,Western,34.6,105,33.9,36.6,40.8,13.3,100,64.9,4.1,,6,3.3,9.2,12,22.2,,
21-Apr,April,2022,Central,24.6,99.7,29.3,54.4,50.4,13.6,100,68.3,7.2,6,4.9,11.8,16.4,22,40.4,4,6
